Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
157,12408490,"Дмитрий Туминов","2025-04-16 15:17:18",1.00000,8,dtuminov
158,13682401,"Eriko Li","2025-04-16 15:20:05",1.00000,3,eriko33
159,13682626," Battula Durga Prasad","2025-04-16 16:13:07",1.00000,3,battuladurgaprasad
160,13682591,"Namin Cho","2025-04-16 16:22:15",1.00000,5,namincho
161,13682718,"Jagrav Rajeshbhai ","2025-04-16 16:33:27",1.00000,3,jagravrajeshbhai
162,13682734,"Arun Kumar Ashok Kumar","2025-04-16 16:40:01",1.00000,3,arunkumarashokkumar
163,13682833,"AYAN GHOSH","2025-04-16 17:02:40",1.00000,3,ayanghoshus
164,13682946,"Sauptik Saha","2025-04-16 17:37:21",1.00000,3,sauptiksaha
165,13683127,"Xiaoman Bi","2025-04-16 18:26:54",1.00000,3,xiaomanbi
166,13683164,susmitha10,"2025-04-16 18:35:18",1.00000,3,susmitha10
167,13683167,"Wantong Song","2025-04-16 18:36:12",1.00000,3,wantongsong
168,13683190,"Hao Liu #4","2025-04-16 18:44:27",1.00000,4,haoliu0023
169,13683261,"Lingyu Zi 0301","2025-04-16 19:03:31",1.00000,3,lingyuzi0301
170,13683399,"Qin Long","2025-04-16 19:58:54",1.00000,3,qlatkaggle
171,4654700,Pakyuk,"2025-04-16 20:01:02",1.00000,3,pakyuk
172,13683413,Siyu231925,"2025-04-16 20:02:31",1.00000,3,siyu231925
173,13683459,"Wenxu Zhang (Jessica)","2025-04-16 20:18:49",1.00000,3,wenxuzhangjessica
174,13683463,flu25@my.trine.edu,"2025-04-16 20:20:55",1.00000,3,flu25mytrineedu
175,13683470,"Jing Wang 0219","2025-04-16 20:33:41",1.00000,4,jingwang0219
176,13683504,"Chao Xu #3","2025-04-16 20:38:14",1.00000,3,xuchaoo
177,13683594,"Yashashree Panda #2","2025-04-16 21:02:26",1.00000,3,yashashreepanda5213
178,2119148,Yu_Jiang,"2025-04-16 21:36:08",1.00000,3,yujjiang
179,13683737,"Siyu Cui","2025-04-16 21:45:37",1.00000,3,trishcui
180,6701509,"nongjie feng","2025-04-16 21:48:01",1.00000,3,nongjiefeng
181,13683767,"Jamie Teng","2025-04-16 21:58:38",1.00000,3,jamieteng
182,13683822,JessyPii,"2025-04-16 22:24:58",1.00000,3,jessypii
183,13683828,"Dan Zhou","2025-04-16 22:31:16",1.00000,3,danzhou24
184,13683911,"Yifei(Freya) Lai","2025-04-16 23:16:38",1.00000,3,yifeifreyalai
185,13683963,"yuanzhao li","2025-04-16 23:35:27",1.00000,3,yuanzhaoli
186,13683982,Kagg_TW,"2025-04-16 23:45:11",1.00000,3,kaggtw
187,13684007,AnnTeng,"2025-04-17 00:06:18",1.00000,4,annteng
188,13684039,"Can Cui","2025-04-17 00:18:13",1.00000,3,tracytsui
189,13684055,"Silin Chen #2","2025-04-17 00:23:25",1.00000,3,schen40
190,13684059,"Lana Banks","2025-04-17 00:29:51",1.00000,3,lanabanks
191,13684064,"Peng Zhang #4","2025-04-17 00:31:25",1.00000,3,pengzhangcom
192,8785441,"Swasthik Bangera","2025-04-17 00:45:01",1.00000,3,swasthikbangera
193,13684113,"Chienhui S at Trine","2025-04-17 00:47:50",1.00000,3,chienhuisattrine
194,13684115,WenyiWuMew,"2025-04-17 00:48:43",1.00000,3,wenyiwumew
195,13684083,Prakharj28,"2025-04-17 00:54:18",1.00000,4,prakharj28
196,13684142,"Xinmu Cui","2025-04-17 00:58:34",1.00000,3,xinmucui
197,13684159,DsJian,"2025-04-17 01:04:38",1.00000,3,dszaphod
198,13684183,"Astha Khatri","2025-04-17 01:13:01",1.00000,3,asthakhatri
199,13684196,"Binita Adhikari95","2025-04-17 01:19:08",1.00000,3,binitaadhikari95
200,13684222,"Waseem Sheik","2025-04-17 01:26:42",1.00000,3,waseemsheik
201,13684262,"Pooja Silwal","2025-04-17 01:44:08",1.00000,3,puzasilwal
202,13684296,"Tasnia Tabassum Alvi","2025-04-17 01:54:53",1.00000,3,tasniatabassumalvi
203,13684312,"Venkata Siva Seshu","2025-04-17 01:59:23",1.00000,3,venkatasivaseshu
204,13684325,YijiaLi,"2025-04-17 02:01:48",1.00000,3,yijiali
205,13684361,"Haiying Chu","2025-04-17 02:13:00",1.00000,3,haiyingchu
206,13684419,"Okorie Kumbaya","2025-04-17 02:24:36",1.00000,3,okoriekumbaya
207,13684387,LUZHANG.YA,"2025-04-17 02:28:09",1.00000,4,luzhangya
208,13684453,lijunjiang,"2025-04-17 02:35:13",1.00000,3,lijunnnjiangg
209,13684464,"Qi-CUC CS","2025-04-17 02:41:55",1.00000,4,qicuccs
210,13684487,"Amy Huang #2","2025-04-17 02:46:12",1.00000,3,ahuang24
211,13684491,xzxzxzxzxzx,"2025-04-17 02:46:30",1.00000,3,xzxzxzxzxzx
212,13684489,"Rishal Navindgikar","2025-04-17 02:46:45",1.00000,3,rishnav
213,13684505,WEIBINSUN,"2025-04-17 02:51:52",1.00000,3,weibinsun
214,13684528,"Xinyi Li1998","2025-04-17 03:03:25",1.00000,4,xinyili1998
215,13684553,"k m arman imtiaz","2025-04-17 03:09:51",1.00000,3,kmarmanimtiaz
216,13684567,nxcdjwk,"2025-04-17 03:13:02",1.00000,4,nxcdjwk
217,13684597,"Rui Peng #2","2025-04-17 03:23:27",1.00000,3,pengrui0106
218,13684603,"Yu Yang","2025-04-17 03:27:37",1.00000,3,ivvvyyang
219,13684627,"Tian Tian #4","2025-04-17 03:35:39",1.00000,3,ttian24
220,13684658,"Ajinkya Zalkikar","2025-04-17 03:44:12",1.00000,3,ajinkyazalkikartrine
221,13684661,"Gyan #3","2025-04-17 03:44:30",1.00000,3,gyan2111
222,13684662,"Guido Feldberg","2025-04-17 03:45:11",1.00000,3,guidofeldberg
223,13684668,"Bo Wen #2","2025-04-17 03:46:51",1.00000,3,ryanwen1
224,13684694,"Esther Li #3","2025-04-17 03:55:13",1.00000,3,estherli7
225,13684711,cguanhua,"2025-04-17 04:01:29",1.00000,3,cguanhua
226,13684741,"Wensi He","2025-04-17 04:09:21",1.00000,3,wensihe
227,13684792,"Suman Naral","2025-04-17 04:28:30",1.00000,3,sumannaral
228,13686103,"Xincheng Yuan #2","2025-04-17 09:24:58",1.00000,3,xinchengyuan14
229,13687232,"Farrukh Sohail","2025-04-17 13:40:30",1.00000,3,farrukhsohail
230,13688058,"Ingrid RosalesDenzer","2025-04-17 16:46:51",1.00000,3,ingridrosalesdenzer
231,13688298,"Zihao Gu #2","2025-04-17 17:47:01",1.00000,3,jeffgu1996
232,13688755,"Smaran G.C.","2025-04-17 20:16:12",1.00000,3,smaranghartichettri
233,13688803,"Kolawole Ayodeji Omoyajowo","2025-04-17 20:37:24",1.00000,3,ayodejiomoyajowo
234,13689720,"Ayush Dwivedi #2","2025-04-18 03:21:44",1.00000,3,ayushdwivedi9
235,13691103,"Japhet Ingeri","2025-04-18 07:46:45",1.00000,3,japhetingeri
236,13691194,23030712016李鹤祥,"2025-04-18 08:21:45",1.00000,5,liasg0
237,13691197,Asuka235,"2025-04-18 08:21:55",1.00000,2,asuka235
238,13686762,23030711022李冠林,"2025-04-18 15:35:09",1.00000,8,qianyan2683
239,13694836,Eunice1894,"2025-04-19 00:24:20",1.00000,4,eunice1894
240,13698034,"Luotong Zeng","2025-04-19 17:13:21",1.00000,3,luotongzeng
241,13677480,yonkel,"2025-04-20 16:46:27",1.00000,7,yonkel
242,13698718,"Laura Romero","2025-04-19 21:03:14",1.00000,3,lauraromero25
243,13698809,"Zhiling Wang","2025-04-19 21:38:59",1.00000,3,zhilingwang
244,13698884,"Ankita Ramvir Singh Yadav","2025-04-19 22:15:53",1.00000,3,ankitarsyadav
245,13699017,"Qiwei Lin","2025-04-19 23:55:17",1.00000,3,jennielyn
246,13699095,"Yanjia Zhao","2025-04-20 00:33:12",1.00000,3,m78mebius
247,13699151,"Desyana Halim","2025-04-20 01:14:37",1.00000,3,dhalim
248,13699425,23070411027雷凯,"2025-04-22 11:56:34",1.00000,2,meizhiyuan
249,13699572,"Tomoe Koketsu","2025-04-20 04:35:05",1.00000,3,tomoekoketsu
250,13699919,"Ayyappa Koralla","2025-04-20 06:43:09",1.00000,3,ayyappakoralla
251,13699213,DeAnyfjhtj,"2025-04-30 04:21:36",1.00000,14,deanyfjhtj
252,13701588,"Cici Zheng 0420","2025-04-20 15:03:00",1.00000,3,cicizheng0420
253,13701669,Rainieyuwen,"2025-04-20 15:21:31",1.00000,4,rainieyuwen
254,13701682,MasonKim92,"2025-04-20 15:29:39",1.00000,5,masonkim92
255,13702174,"Yiming Han 20","2025-04-20 17:34:29",1.00000,3,yiminghan20
256,13702271,"Diwei Zhu","2025-04-20 18:08:17",1.00000,3,diweizhu6745
257,13702296,"Wenwen Li","2025-04-20 18:16:17",1.00000,3,wenwenli9
258,13702320,"Md Royel Hossain","2025-04-20 18:32:31",1.00000,3,sajidali07
259,13702663,"Chenhui Yang","2025-04-20 20:32:34",1.00000,3,chenhuiyang
260,13702694,"Apollo #2","2025-04-20 20:52:46",1.00000,3,apollohxj
261,13702700,"Jéssica H Pinheiro","2025-04-20 20:55:33",1.00000,3,jssicahpinheiro
262,13702843,"Flora Sangwa Gwaneza","2025-04-20 22:00:49",1.00000,4,florasangwagwaneza
263,13702980,"Ha Nguyen #4","2025-04-20 23:02:42",1.00000,3,hanguyen21
264,8782544,"Dhruv Gangwani #2","2025-05-10 15:31:54",1.00000,6,dhruv1234
265,13703037,"Jade S Romain","2025-04-20 23:30:17",1.00000,3,jadesromain
266,13703140,"Saketh Yadlapalli07","2025-04-21 00:28:46",1.00000,3,sakethyadlapalli07
267,13703151,"Lindsay Ning","2025-04-21 00:34:59",1.00000,3,lindsayning
268,13703163,"Chris Tan #2","2025-04-21 00:43:29",1.00000,3,chrisxiaoyuetan
269,13703458,xiluorossie,"2025-04-21 02:01:48",1.00000,4,xiluorossie
270,13703482,HWei_2025,"2025-04-21 02:05:27",1.00000,3,hwei2025
271,13703542,"Khee Lim Low1","2025-04-21 02:17:36",1.00000,3,kheelimlow1
272,13703935,daphne_hanna,"2025-04-21 03:45:12",1.00000,4,daphnehanna
273,13704117,"Yuanming Liu 666","2025-04-21 04:43:37",1.00000,3,yuanmingliu666
274,13704439,"Longfeng Yang","2025-04-21 06:17:41",1.00000,3,longfengyang
275,13701535,"Suryakoushik Reddy","2025-04-21 07:35:47",1.00000,2,kauschik
276,13704155,"KARTIK KALA","2025-04-21 07:39:27",1.00000,2,sirkartik
277,12933323,"Hyun-woo Kim","2025-04-22 02:56:11",1.00000,1,hwkims
278,13709784,moyouxiu,"2025-04-22 07:49:11",1.00000,7,moyouxiu
279,13691314,zzZ,"2025-04-22 07:50:24",1.00000,9,chiyichiyi
280,13709974,Lihanbing1,"2025-04-22 08:11:37",1.00000,3,lihanbing1
281,13710231,兰培泽23030712024,"2025-04-22 08:13:04",1.00000,1,nianyuyu
282,13710078,23030712038王博,"2025-04-22 08:17:04",1.00000,2,fdbdbdfbfdb
283,13691275,"23030712037 张奥博","2025-04-22 08:20:17",1.00000,7,zhangaob
284,13686306,zzjw111,"2025-04-22 14:02:08",1.00000,3,zzjw111
285,13711990,qwert1112,"2025-04-24 12:06:27",1.00000,4,qwert1112
286,13714760,OkCharity,"2025-04-23 08:50:13",1.00000,8,muditarukia
287,11991591,"raid athmane","2025-05-10 14:21:38",1.00000,9,raidathmane
288,13717329,ARSLAAN12405603,"2025-04-23 15:09:23",1.00000,1,arslaan12405603
289,12218891,Minggyul,"2025-04-25 01:33:14",1.00000,3,minggyul
290,11901806,eeizoah,"2025-04-25 16:50:58",1.00000,1,eeizoah
291,11453142,"Peyman Daei Rezaei","2025-04-26 07:11:02",1.00000,8,peimandaii
292,13730740,"Arpit Aggawarwal","2025-04-26 12:09:52",1.00000,1,arpitaggawarwal
293,13684498,kargneq,"2025-04-28 14:50:25",1.00000,8,kargneq
294,13735392,"Yunkai Wang","2025-04-27 16:46:24",1.00000,2,yunkaiwang2
295,13717173,"Frey Lively","2025-04-28 06:11:19",1.00000,5,freylively
296,13704624,"Samridhi Rajput","2025-04-28 07:17:07",1.00000,4,samridhirajput
297,13709742,刘柯789,"2025-04-28 12:22:22",1.00000,5,liuke789
298,11585925,"Huseyin Gur","2025-04-29 07:43:23",1.00000,8,huseyingur
299,13739369,"Chu YiAn","2025-05-06 06:00:08",1.00000,7,"chuyian,yu0216"
300,13323041,"Charles Robarts","2025-04-30 01:39:15",1.00000,8,charlesrobarts
301,13748884,MoLiJiuTian,"2025-04-30 10:27:42",1.00000,5,molijiutian
302,13748890,fujinglong,"2025-04-30 09:45:04",1.00000,2,fujinglong
303,13748898,mengdebo,"2025-04-30 09:14:31",1.00000,10,mengdebo
304,13749057,23030711029翟晓康,"2025-04-30 09:30:17",1.00000,1,zhaizhai1234
305,13195479,"Mohammad Wasil Jalali","2025-05-02 10:03:11",1.00000,1,mohammadwasiljalali
306,13641232,"Evan Y.Liu","2025-05-10 09:44:31",1.00000,11,evansussex
307,13438126,"Can Özensoy","2025-05-04 16:55:48",1.00000,8,canozensoy
308,13775494,王静怡23030712030,"2025-05-06 06:44:47",1.00000,1,wangjingyi11001133
309,13692051,23030712019王佳婷,"2025-05-06 06:54:04",1.00000,4,tingfamily
310,13776254,naaeu,"2025-05-06 09:12:36",1.00000,2,naaeu02
311,13776916,z20268307,"2025-05-06 13:17:11",1.00000,2,z20268307
312,13773155,Aseque,"2025-05-07 08:51:08",1.00000,13,aseque
313,13710171,zhang1234567898,"2025-05-06 13:10:08",1.00000,4,zhang1234567898
314,13777465,qsikkkk,"2025-05-06 13:18:26",1.00000,1,qsikkkk
315,13777472,gaoshuaizhou,"2025-05-06 13:19:23",1.00000,1,gao666666666
316,13386705,"Echo #4","2025-05-07 15:52:23",1.00000,6,nieniejava
317,13784162,liuhaoze666,"2025-05-07 10:33:49",1.00000,1,liuhaoze666
318,13744727,"peaceful momo","2025-05-07 12:10:41",1.00000,9,peacefulmomo
319,13440183,"Jules Charlier","2025-05-08 19:14:54",1.00000,1,julescharlier
320,10894517,"Serhii Kharchuk","2025-05-09 21:49:49",1.00000,1,serhiikharchuk
321,13703468,pcregister,"2025-05-10 07:23:26",1.00000,3,pcregister
